obligation	blocks	adsmtc	wall_ms	goal	z3_fixture	lusmt_fixture	class	bail_reason
linear-euf-2/ob07	10	unknown	3054	goal: `tmp%1` = `linear_euf_2!between.?`(I(`lo!`), I(Add(`lo!`, 1)), I(`hi!`)) ==> `tmp%1`	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob08	10	unknown	8116	goal: (has_type(`k@`, INT) ==> `tmp%1` = (`linear_euf_2!double.?`(`k@`) = `linear_euf_2!do	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob09	10	unsat	8	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
linear-euf-2/ob10	10	unsat	7	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
linear-euf-3/ob01	8	unsat	820	goal: `tmp%1` = (`linear_euf_3!g.?`(I(`a!`)) <= `linear_euf_3!g.?`(I(`b!`))) ==> `tmp%1` a	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob02	8	unsat	31	goal: (not (`a!` = `b!`) and not (`b!` = `c!`)) and not (`a!` = `c!`)	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob03	8	unknown	1050	goal: `c1!` = `c2!`	z3=7v/0e	lusmt=6v/1e	solver-unknown	-
linear-euf-3/ob04	8	unsat	8	goal: true	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob05	8	unsat	748	goal: let `tmp%%$` = 1 in let `tmp%%$1` = `linear_euf_3!code.?`(`Poly%linear_euf_3!Color.`	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob06	8	unsat	545	goal: iInv(64, Add(`a!`, `b!`)) and (iInv(64, Add(`a!`, `b!`)) ==> `r!` = iClip(64, Add(`a	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob07	8	unsat	50	goal: `m@0` = `a!` ==> (`b!` > `m@0` ==> `m@1` = `b!` ==> `%%switch_label%%1`) and (not (`	z3=7v/0e	lusmt=6v/1e	verified	-
linear-euf-3/ob08	8	unsat	7	goal: true	z3=7v/0e	lusmt=6v/1e	verified	-
nonlinear-1/ob01	1	unsat	8	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
nonlinear-2/ob01	9	unsat	7	goal: `a!` <= `b!` and (0 <= `c!` and (Mul(`a!`, `c!`) <= Mul(`b!`, `c!`) ==> Mul(`a!`, `c	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob02	9	unsat	7	goal: true	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob03	9	unsat	7	goal: true and (Mul(`a!`, Add(`b!`, `c!`)) = Add(Mul(`a!`, `b!`), Mul(`a!`, `c!`)) ==> tru	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob04	9	unsat	7	goal: true	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob05	9	unsat	7	goal: true and (Mul(Add(`x!`, `y!`), Add(`x!`, `y!`)) = Add(Add(Mul(`x!`, `x!`), Mul(2, Mu	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob06	9	unsat	6	goal: true	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob07	9	unsat	493	goal: `x!` < 1000 and (Mul(`x!`, `x!`) < 1000000 ==> uInv(64, Mul(`x!`, `x!`)) and (uInv(6	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob08	9	unsat	7	goal: true	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-2/ob09	9	unsat	9	goal: true	z3=10v/0e	lusmt=5v/5e	verified	-
nonlinear-3/ob01	6	unsat	317	goal: `req%nonlinear_3!lemma_mul_nonneg.`(`x!`, `x!`) and (`ens%nonlinear_3!lemma_mul_nonn	z3=9v/0e	lusmt=4v/5e	verified	-
nonlinear-3/ob02	6	unknown	703	goal: `req%nonlinear_3!lemma_mul_mono_right.`(`a!`, `c!`, `d!`) and (`ens%nonlinear_3!lemm	z3=9v/0e	lusmt=4v/5e	solver-unknown	-
nonlinear-3/ob03	6	unsat	7	goal: true	z3=9v/0e	lusmt=4v/5e	verified	-
nonlinear-3/ob04	6	unsat	1038	goal: (has_type(`x@`, INT) ==> true and (Mul(`%I`(`x@`), `%I`(`x@`)) >= 0 ==> `nonlinear_3	z3=9v/0e	lusmt=4v/5e	verified	-
nonlinear-3/ob05	6	unsat	7	goal: true	z3=9v/0e	lusmt=4v/5e	verified	-
nonlinear-3/ob06	6	unsat	8	goal: true	z3=9v/0e	lusmt=4v/5e	verified	-
seq-vstd-1/ob01	10	unknown	3116	goal: `vstd!seq.Seq.len.?`(`$`, INT, `vstd!seq.Seq.push.?`(`$`, INT, `Poly%vstd!seq.Seq<in	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
seq-vstd-1/ob02	10	unknown	3081	goal: `tmp%2` = `vstd!seq.Seq.push.?`(`$`, INT, `Poly%vstd!seq.Seq<int.>.`(`s!`), I(`v!`))	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
seq-vstd-1/ob03	10	unknown	5236	goal: (has_type(`i@`, INT) ==> (let `tmp%%$` = 0 in let `tmp%%$1` = `%I`(`i@`) in let `tmp	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
seq-vstd-1/ob04	10	unsat	848	goal: `seq_vstd_1!all_nonneg.?`(`Poly%vstd!seq.Seq<int.>.`(`s!`)) ==> `v!` >= 0 ==> has_ty	z3=6v/0e	lusmt=2v/4e	verified	-
seq-vstd-1/ob05	10	unknown	8628	goal: `vstd!seq.Seq.len.?`(`$`, INT, `vstd!seq.Seq.update.?`(`$`, INT, `Poly%vstd!seq.Seq<	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
seq-vstd-1/ob06	10	unknown	2354	goal: `seq_vstd_1!all_nonneg.?`(`vstd!seq.Seq.update.?`(`$`, INT, `Poly%vstd!seq.Seq<int.>	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
seq-vstd-1/ob07	10	unsat	708	goal: `seq_vstd_1!all_nonneg.?`(`Poly%vstd!seq.Seq<int.>.`(`s!`)) ==> (let `tmp%%$` = 0 in	z3=6v/0e	lusmt=2v/4e	verified	-
seq-vstd-1/ob08	10	unsat	1524	goal: `s@` = `%Poly%vstd!seq.Seq<int.>.`(`vstd!seq.Seq.push.?`(`$`, INT, `vstd!seq.Seq.pus	z3=6v/0e	lusmt=2v/4e	verified	-
seq-vstd-1/ob09	10	unsat	1261	goal: `s@` = `%Poly%vstd!seq.Seq<int.>.`(`vstd!seq.Seq.push.?`(`$`, INT, `vstd!seq.Seq.pus	z3=6v/0e	lusmt=2v/4e	verified	-
seq-vstd-1/ob10	10	unsat	10	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
seq-vstd-2/ob01	11	unknown	56807	goal: `vstd!seq.Seq.len.?`(`$`, INT, `vstd!seq.Seq.subrange.?`(`$`, INT, `Poly%vstd!seq.Se	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob02	11	unknown	1717	goal: (let `tmp%%$` = 0 in let `tmp%%$1` = `a!` in let `tmp%%$2` = `b!` in let `tmp%%$3` =	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob03	11	unknown	7502	goal: (has_type(`k@`, INT) ==> (let `tmp%%$` = 0 in let `tmp%%$1` = `%I`(`k@`) in let `tmp	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob04	11	unknown	4268	goal: `seq_vstd_2!all_nonneg.?`(`Poly%vstd!seq.Seq<int.>.`(`s!`)) ==> (let `tmp%%$` = 0 in	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob05	11	unknown	28817	goal: `tmp%1` = ext_eq(false, `TYPE%vstd!seq.Seq.`(`$`, INT), `vstd!seq.Seq.subrange.?`(`$	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob06	11	unsat	797	goal: `tmp%4` = I(`vstd!seq.Seq.len.?`(`$`, INT, `Poly%vstd!seq.Seq<int.>.`(`s!`))) ==> `r	z3=6v/0e	lusmt=1v/5e	verified	-
seq-vstd-2/ob07	11	unknown	26734	goal: `tmp%1` = ext_eq(false, `TYPE%vstd!seq.Seq.`(`$`, INT), `vstd!seq.Seq.add.?`(`$`, IN	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob08	11	timeout	91406	goal: (let `tmp%%$` = 0 in let `tmp%%$1` = `m!` in let `tmp%%$2` = `vstd!seq.Seq.len.?`(`$	z3=6v/0e	lusmt=1v/5e	solver-timeout	-
seq-vstd-2/ob09	11	unknown	15007	goal: `req%seq_vstd_2!lemma_subrange_split.`(`s!`, 0) and (`ens%seq_vstd_2!lemma_subrange_	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-2/ob10	11	unsat	971	goal: `ens%seq_vstd_2!lemma_subrange_split.`(`s!`, 0) ==> `ens%seq_vstd_2!lemma_subrange_f	z3=6v/0e	lusmt=1v/5e	verified	-
seq-vstd-2/ob11	11	unsat	12	goal: true	z3=6v/0e	lusmt=1v/5e	verified	-
seq-vstd-3/ob01	11	unknown	577	goal: `seq_vstd_3!ptwise_le.?`(`Poly%vstd!seq.Seq<int.>.`(`a!`), `Poly%vstd!seq.Seq<int.>.	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob02	11	unsat	9	goal: true	z3=6v/0e	lusmt=1v/5e	verified	-
seq-vstd-3/ob03	11	unknown	4070	goal: (has_type(`i@`, INT) ==> (let `tmp%%$` = 0 in let `tmp%%$1` = `%I`(`i@`) in let `tmp	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob04	11	unknown	3171	goal: `seq_vstd_3!ptwise_le.?`(`Poly%vstd!seq.Seq<int.>.`(`a!`), `Poly%vstd!seq.Seq<int.>.	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob05	11	unknown	12973	goal: (has_type(`i@`, INT) ==> (let `tmp%%$` = 0 in let `tmp%%$1` = `%I`(`i@`) in let `tmp	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob06	11	unknown	12281	goal: `seq_vstd_3!ptwise_le.?`(`Poly%vstd!seq.Seq<int.>.`(`a!`), `Poly%vstd!seq.Seq<int.>.	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob07	11	unknown	3280	goal: (has_type(`j@`, INT) ==> (let `tmp%%$` = 0 in let `tmp%%$1` = `%I`(`j@`) in let `tmp	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob08	11	unknown	8767	goal: `seq_vstd_3!ptwise_le.?`(`Poly%vstd!seq.Seq<int.>.`(`a!`), `Poly%vstd!seq.Seq<int.>.	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob09	11	unknown	3413	goal: `req%seq_vstd_3!lemma_ptwise_le_push.`(`a!`, `b!`, `x1!`, `y1!`) and (`ens%seq_vstd_	z3=6v/0e	lusmt=1v/5e	solver-unknown	-
seq-vstd-3/ob10	11	unsat	10	goal: true	z3=6v/0e	lusmt=1v/5e	verified	-
seq-vstd-3/ob11	11	unsat	10	goal: true	z3=6v/0e	lusmt=1v/5e	verified	-
abduct-boolean/ob01	2	unknown	465	goal: `b!`	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-boolean/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-eq-vars/ob01	2	unknown	514	goal: Sub(`x!`, `y!`) = 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-eq-vars/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-eq-zero/ob01	2	unknown	544	goal: `x!` = 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-eq-zero/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-negativity/ob01	2	unknown	509	goal: Add(`x!`, `y!`) < 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-negativity/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-pred/ob01	2	unknown	1275	goal: `abduct_pred!prop.?`(I(`x!`))	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-pred/ob02	2	unsat	6	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-relational/ob01	2	unknown	502	goal: Sub(`x!`, `y!`) >= 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-relational/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-sign/ob01	2	unknown	489	goal: Add(`x!`, `y!`) > 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-sign/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
abduct-spec-len/ob01	2	unknown	968	goal: `vstd!seq.Seq.len.?`(`$`, INT, `Poly%vstd!seq.Seq<int.>.`(`s!`)) > 0	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
abduct-spec-len/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
error-disequality/ob01	2	unknown	493	goal: not (`x!` = 0)	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
error-disequality/ob02	2	unsat	9	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
noabduct-false/ob01	2	unknown	509	goal: false	z3=0v/1e	lusmt=0v/1e	solver-unknown	-
noabduct-false/ob02	2	unsat	7	goal: true	z3=0v/1e	lusmt=0v/1e	verified	-
verify-arith/ob01	1	unsat	321	goal: Add(`x!`, `y!`) > 0	z3=1v/0e	lusmt=1v/0e	verified	-
diff/ob01	3	unsat	1145	goal: `diff!abs.?`(I(`x!`)) >= 0	z3=3v/0e	lusmt=3v/0e	verified	-
diff/ob02	3	unsat	557	goal: 0 <= `diff!code.?`(`Poly%diff!Color.`(`c!`)) and `diff!code.?`(`Poly%diff!Color.`(`c	z3=3v/0e	lusmt=3v/0e	verified	-
diff/ob03	3	unsat	8	goal: true	z3=3v/0e	lusmt=3v/0e	verified	-
